#,Group,PN,SN,Description,Qty,ATA,Location,Source Doc,Source Type,Page,Recovery Method,Edit Dist,Rejected PN (original OCR),Rejected SN (original OCR),Audit Notes
1,A,500097,112718038,"KIT, FIRST AID",,25-60-00,WARDROBE,PART NUMBERS.pdf,mis_export,12,Exact match after norm,0,500097.0,112718038.0,
2,A,016263-01,0784,LEVEL SENSOR PROBE,,38-11-10,WATER TANK BAGGAGE BAY RH,ATA CHAPTERS.pdf,mis_export,23,Exact match after norm,0,016263-01,784.0,
3,A,BDP3009-001-001,000754,"PLAYER, BLU-RAY DISC",,00-75-4,WARDROBE,PART NUMBERS.pdf,mis_export,25,Exact match after norm,0,BDP3009-001-001,754.0,
4,A,0059-0008-3,286461,"VALVE, CHECK",,36-11-00,10TH STAGE BLEED AIR,ATA CHAPTERS.pdf,mis_export,22,Exact match after norm,0,0059-0008-3,286461.0,
5,A,123790-1-1,1585,"VALVE, CHECK",,21-21-04,FLT DECK CONDITIONED AIR,PART NUMBERS.pdf,mis_export,1,Exact match after norm,0,123790-1-1,1585.0,
6,A,3202076-1-1,1418,"VALVE, CHECK",,21-21-04,CONDITIONED AIR DUCT,PART NUMBERS.pdf,mis_export,10,Exact match after norm,0,3202076-1-1,1418.0,
7,A,3202062-1-1,2852,"VALVE, CHECK, PRESS BKLHD",,21-21-04,AFT FUSE RH,PART NUMBERS.pdf,mis_export,10,Exact match after norm,0,3202062-1-1,2852.0,
8,A,3202062-1-1,2858,"VALVE, CHECK, PRESS BKLHD",,21-21-04,AFT FUSE LH,PART NUMBERS.pdf,mis_export,10,Exact match after norm,0,3202062-1-1,2858.0,
9,B,1015F9A-C4-1-150,10EUL-82792,,,,,CL650-6134_bo3_bi11_247470 2 of 2_96560_19-Feb-2022.pdf,shipping_record,86,Exact match after norm,0,1015F9A-C4-1-150,10EUL-82792,
10,B,031-614-0,8065S00381,18X4.4/12/210,1,,,CL650-6134_bo2_bi7_CL65HBJTZ015MX_6134-21-13_16-Jul-2021.pdf,easa_form_one,177,Exact match after norm,0,031-614-0,8065S00381,
11,B,70721725-5,18-156101-03787,APU - DISCARD TURBINE ROTOR OF THE AUXILIARY POWER UNIT (APU) TURBINE ROTOR,,49,,Annex 1 – Life Limited & Overhaul Components Status Report.pdf,life_limited_parts_status,13,Exact match after norm,0,70721725-5,18-156101-03787,
12,B,1756-3,0905200213796,"BATTERY, MAIN, MODEL",1.0 EA,,,CL650-6134_bo2_bi8_CL65HBJTZ017MX_6134-21-15_10-Sep-2021.pdf,easa_form_one,39,Exact match after norm,0,1756 3,0905200213796,
13,B,601R59041-3,09052000A3208,"BATTERY, MAIN, MODEL 1756-3",,24-32-01,NOSE AVIONIC BAY,CALENDAR.pdf,life_limited_parts_status,0,Exact match after norm,0,601R59041-3,09052000A3208,
14,B,228-50162-565,NSN,BRACKET,6,,,CL650-6134_bo2_bi9_CL65HBJTZ018MX_35666_23-Dec-2021.pdf,easa_form_one,96,Exact match after norm,0,228-50162-565,NSN,Non-serialised (NSN = Not Subject to Numbering). Batch-cert pattern.
15,B,601R92386-3,SN1854,DISCARD OF THE L/H LOWER HORIZONTAL-STABILIZER TRIM-ACTUATOR (HSTA) TRUNNION SUPPORT; PART NO. 601R92386-1/-3,,,,Annex 1 – Life Limited & Overhaul Components Status Report.pdf,life_limited_parts_status,2,Exact match after norm,0,601R92386-3,SN1854,
16,B,601R92386-3,SN1841,DISCARD OF THE R/H LOWER HORIZONTAL-STABILIZER TRIM-ACTUATOR (HSTA) TRUNNION SUPPORT; PART NO. 601R92386-1/-3,,,,Annex 1 – Life Limited & Overhaul Components Status Report.pdf,life_limited_parts_status,2,Exact match after norm,0,601R92386-3,SN1841,
17,B,228-56334-103,2114592501,DUCT ASSY,1,,,CL650-6134_bo2_bi9_CL65HBJTZ018MX_35666_23-Dec-2021.pdf,tcca_form_one,93,Exact match after norm,0,228-56334-103,2114592501,
18,B,625692-2,089C-1231,FAN SENSOR,1,,,CL650-6134_bo2_bi9_CL65HBJTZ018MX_35666_23-Dec-2021.pdf,tcca_form_one,66,Exact match after norm,0,625692-2,089C-1231,
19,B,40962-1,SO2011084,LABEL,100,,,CL650-6134_bo1_bi5_182684 2of 2_6134-21-01_02-Mar-2021.pdf,tcca_form_one,53,Exact match after norm,0,40962-1,SO2011084,
20,B,600-59199-9,DT6325N,Lateral Accelerometer,1 ea,,,CL650-6134_bo1_bi2_2020-02-19-2866_6134-20-05_06-Mar-2020.pdf,work_order_contents_report,8,Exact match after norm,0,600-59199-9,DT6325N,
21,B,A3372-1,NSN,STAY BRACE,1,,,CL650-6134_bo2_bi9_CL65HBJTZ018MX_35666_23-Dec-2021.pdf,easa_form_one,95,Exact match after norm,0,A3372-1,NSN,Non-serialised (NSN = Not Subject to Numbering). Batch-cert pattern.
22,B,54303-6C35,M3833,Stall protection computer,1 e.a.,,,CL650-6134_bo1_bi2_2020-02-19-2866_6134-20-05_06-Mar-2020.pdf,work_order_contents_report,8,Exact match after norm,0,54303-6C35,M3833,
23,B,60-1321-1,26558,"UNIT, POWER SUPPLY, EMERGENCY",,33-51-01,RH CABIN/EMERGENCY LIGHT,CALENDAR.pdf,life_limited_parts_status,1,Exact match after norm,0,60-1321-1,26558,
24,C,031-614-0,8065S00381,18X4.4/12/210,1,,,CL650-6134_bo2_bi7_CL65HBJTZ015MX_6134-21-13_16-Jul-2021.pdf,easa_form_one,177,OCR fold + edit distance 2,2,031-614-0,8064S00371,Medium confidence (ed=2). Needs human review — may be different physical unit.
25,C,024657-000,8905200213796,BATTERY (MAIN),1,,,CL650-6134_bo3_bi12_21563_21729_69111Rev.1_18-Oct-2022.pdf,routine_task_card,42,OCR fold + edit distance 2,2,024637-000,2205200213796,Medium confidence (ed=2). Needs human review — may be different physical unit.
26,C,024453-000,090520021095E,BATTERY NICKEL CADMIUM,1,,,CL650-6134_bo3_bi12_21563_21729_69111Rev.1_18-Oct-2022.pdf,easa_form_one,52,OCR fold + edit distance 1,1,024453-000,070520021095E,OCR substitution: norm_rejected=70520021095E norm_real=90520021095E
27,C,024453-000,090520021095E,BATTERY NICKEL CADMIUM,1,,,CL650-6134_bo3_bi12_21563_21729_69111Rev.1_18-Oct-2022.pdf,easa_form_one,52,OCR fold + edit distance 0,0,024453-000,09052002109SE,OCR substitution: norm_rejected=90520021095E norm_real=90520021095E
28,C,1756-3,0905200213796,"BATTERY, MAIN, MODEL",1.0 EA,,,CL650-6134_bo2_bi8_CL65HBJTZ017MX_6134-21-15_10-Sep-2021.pdf,easa_form_one,39,OCR fold + edit distance 1,1,1756-3,0905R00213796,OCR substitution: norm_rejected=905R00213796 norm_real=905200213796
29,C,C16786MA01,C16786026816,"INSTRUMENT, INTEGRATED STANDBY",,34-12-00,AVIONICS BAY ISI,PART NUMBERS.pdf,mis_export,25,OCR fold + edit distance 0,0,C16786M101,C16786026816,OCR substitution: norm_rejected=C16786026816 norm_real=C16786026816
