#,Group,PN,SN,Born_on_Aircraft,1_Date_of_First_Installation,2_Hours_at_First_Install,2_Cycles_at_First_Install,3_Overhaul_History,4_Repair_History,5_Modification_Status_SBs,6_Last_Parts_Certificate,7_TSN_at_Last_Shop_Visit,8_Accrued_Since_Last_Overhaul,9_Current_Part_Total_Time,10_Remaining_to_Overhaul_or_Scrap,11_Part_Identity,n_Form1s_found_in_dossier,n_install_events_in_dossier,evidence_source_files
1,A,500097,112718038,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: 500097 | SN: 112718038 | Desc: KIT, FIRST AID | Pos: WARDROBE | Cat: LLP",0,0,"190225_HB-JTZ_CALENDAR.pdf, ATA CHAPTERS.pdf, CALENDAR.pdf, D-TR61345000 REV. NC.pdf, D-TRMISC5000 REV.B.pdf"
2,A,016263-01,0784,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,PN: 016263-01 | SN: 0784 | Desc: LEVEL SENSOR PROBE | Pos: WATER TANK BAGGAGE BAY RH | Cat: Unknown,0,0,"ATA CHAPTERS.pdf, PART NUMBERS.pdf"
3,A,BDP3009-001-001,000754,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: BDP3009-001-001 | SN: 000754 | Desc: PLAYER, BLU-RAY DISC | Pos: WARDROBE | Cat: Unknown",0,0,"ATA CHAPTERS.pdf, PART NUMBERS.pdf"
4,A,0059-0008-3,286461,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: 0059-0008-3 | SN: 286461 | Desc: VALVE, CHECK | Pos: 10TH STAGE BLEED AIR | Cat: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
5,A,123790-1-1,1585,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: 123790-1-1 | SN: 1585 | Desc: VALVE, CHECK | Pos: FLT DECK CONDITIONED AIR | Cat: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
6,A,3202076-1-1,1418,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: 3202076-1-1 | SN: 1418 | Desc: VALVE, CHECK | Pos: CONDITIONED AIR DUCT | Cat: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
7,A,3202062-1-1,2852,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: 3202062-1-1 | SN: 2852 | Desc: VALVE, CHECK, PRESS BKLHD | Pos: AFT FUSE RH | Cat: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
8,A,3202062-1-1,2858,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: 3202062-1-1 | SN: 2858 | Desc: VALVE, CHECK, PRESS BKLHD | Pos: AFT FUSE RH | Cat: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
9,B,1015F9A-C4-1-150,10EUL-82792,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 1015F9A-C4-1-150 | SN: 10EUL-82792 | Desc: Winslow life raft | Pos: Unknown | Cat: Unknown,0,0,CL650-6134_bo3_bi11_247470 2 of 2_96560_19-Feb-2022.pdf
10,B,031-614-0,8065S00381,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 031-614-0 | SN: 8065S00381 | Desc: TIRE 18X4.4/12/210 | Pos: Unknown | Cat: Unknown,1,0,CL650-6134_bo2_bi7_CL65HBJTZ015MX_6134-21-13_16-Jul-2021.pdf
